birth_year,min_age,min_value,x2,midpoint_min_age,midpoint_min_value,midpoint_x2
1988,32.58,-0.02,5.0,32.58,-0.02,5.0
1989,32.83,-0.0302,1.0,32.69,-0.0302,1.0
1990,30.66,-0.0446,4.0,30.97,-0.044,3.0
1991,34.09,-0.0712,2.0,31.9,-0.0708,5.0
1992,31.08,-0.0847,4.0,30.93,-0.0852,5.0
1993,35.73,-0.1042,2.0,34.89,-0.1022,2.0
1994,30.81,-0.1158,6.0,31.33,-0.117,5.0
1995,30.3,-0.1205,5.0,30.86,-0.1217,5.0
1996,28.73,-0.128,9.0,28.54,-0.1279,10.0
1997,31.75,-0.1448,6.0,31.56,-0.1439,6.0
1998,28.17,-0.1391,11.0,30.11,-0.1476,8.0
1999,30.52,-0.1634,9.0,29.35,-0.1564,10.0
2000,34.02,-0.1907,6.0,28.51,-0.1524,11.0
2001,112.34,-0.9103,1.0,39.04,-0.2427,5.0
2002,59.08,-0.4636,3.0,36.45,-0.2369,6.0
2003,-3.67,0.1773,-5.0,816.5,-8.1723,0.0
2004,6.4,0.0776,-9.0,-0.27,0.1436,-5.0
2005,10.13,0.0424,-13.0,3.81,0.1024,-7.0
2006,13.89,0.0096,-27.0,12.58,0.0207,-19.0
2007,20.67,-0.0481,21.0,6.86,0.0652,-8.0
