birth_year,age,m1x,year,code
1920,16,0.0,1936,UK
1921,16,0.0,1937,UK
1920,17,0.01,1937,UK
1922,16,0.0,1938,UK
1921,17,0.01,1938,UK
1920,18,0.0202020202020202,1938,UK
1923,16,0.0,1939,UK
1922,17,0.01,1939,UK
1921,18,0.0202020202020202,1939,UK
1920,19,0.04123711340206186,1939,UK
1924,16,0.0,1940,UK
1923,17,0.01,1940,UK
1922,18,0.0202020202020202,1940,UK
1921,19,0.04123711340206186,1940,UK
1920,20,0.04301075268817204,1940,UK
1925,16,0.0,1941,UK
1924,17,0.01,1941,UK
1923,18,0.0202020202020202,1941,UK
1922,19,0.030927835051546393,1941,UK
1921,20,0.05376344086021505,1941,UK
1920,21,0.06741573033707866,1941,UK
1926,16,0.0,1942,UK
1925,17,0.01,1942,UK
1924,18,0.0202020202020202,1942,UK
1923,19,0.030927835051546393,1942,UK
1922,20,0.06382978723404255,1942,UK
1921,21,0.06818181818181818,1942,UK
1920,22,0.09638554216867469,1942,UK
1927,16,0.0,1943,UK
1926,17,0.01,1943,UK
1925,18,0.0202020202020202,1943,UK
1924,19,0.04123711340206186,1943,UK
1923,20,0.06382978723404255,1943,UK
1922,21,0.07954545454545456,1943,UK
1921,22,0.09756097560975611,1943,UK
1920,23,0.09333333333333334,1943,UK
1928,16,0.0,1944,UK
1927,17,0.01,1944,UK
1926,18,0.0202020202020202,1944,UK
1925,19,0.04123711340206186,1944,UK
1924,20,0.05376344086021505,1944,UK
1923,21,0.07954545454545456,1944,UK
1922,22,0.09876543209876544,1944,UK
1921,23,0.10810810810810813,1944,UK
1920,24,0.11764705882352945,1944,UK
1929,16,0.0,1945,UK
1928,17,0.01,1945,UK
1927,18,0.0202020202020202,1945,UK
1926,19,0.04123711340206186,1945,UK
1925,20,0.05376344086021505,1945,UK
1924,21,0.07954545454545456,1945,UK
1923,22,0.09876543209876544,1945,UK
1922,23,0.09589041095890412,1945,UK
1921,24,0.106060606060606,1945,UK
1920,25,0.08333333333333331,1945,UK
1930,16,0.0,1946,UK
1929,17,0.01,1946,UK
1928,18,0.030303030303030304,1946,UK
1927,19,0.04123711340206186,1946,UK
1926,20,0.06451612903225806,1946,UK
1925,21,0.09090909090909093,1946,UK
1924,22,0.11111111111111113,1946,UK
1923,23,0.12328767123287668,1946,UK
1922,24,0.13636363636363633,1946,UK
1921,25,0.13559322033898305,1946,UK
1920,26,0.14545454545454548,1946,UK
1931,16,0.0,1947,UK
1930,17,0.01,1947,UK
1929,18,0.030303030303030304,1947,UK
1928,19,0.04166666666666667,1947,UK
1927,20,0.08602150537634408,1947,UK
1926,21,0.1149425287356322,1947,UK
1925,22,0.13749999999999998,1947,UK
1924,23,0.16666666666666666,1947,UK
1923,24,0.17187499999999997,1947,UK
1922,25,0.15789473684210528,1947,UK
1921,26,0.17647058823529405,1947,UK
1920,27,0.14893617021276587,1947,UK
1932,16,0.0,1948,UK
1931,17,0.02,1948,UK
1930,18,0.030303030303030304,1948,UK
1929,19,0.05208333333333333,1948,UK
1928,20,0.07608695652173912,1948,UK
1927,21,0.10588235294117647,1948,UK
1926,22,0.11688311688311688,1948,UK
1925,23,0.1304347826086957,1948,UK
1924,24,0.13333333333333328,1948,UK
1923,25,0.13207547169811332,1948,UK
1922,26,0.12499999999999989,1948,UK
1921,27,0.11904761904761914,1948,UK
1920,28,0.10000000000000009,1948,UK
1933,16,0.0,1949,UK
1932,17,0.02,1949,UK
1931,18,0.020408163265306124,1949,UK
1930,19,0.05208333333333333,1949,UK
1929,20,0.07692307692307693,1949,UK
1928,21,0.10588235294117647,1949,UK
1927,22,0.11842105263157898,1949,UK
1926,23,0.13235294117647056,1949,UK
1925,24,0.13333333333333328,1949,UK
1924,25,0.13461538461538472,1949,UK
1923,26,0.13043478260869554,1949,UK
1922,27,0.11904761904761914,1949,UK
1921,28,0.10810810810810821,1949,UK
1920,29,0.08333333333333341,1949,UK
1934,16,0.0,1950,UK
1933,17,0.02,1950,UK
1932,18,0.020408163265306124,1950,UK
1931,19,0.05208333333333333,1950,UK
1930,20,0.07692307692307693,1950,UK
1929,21,0.09523809523809523,1950,UK
1928,22,0.11842105263157898,1950,UK
1927,23,0.11940298507462682,1950,UK
1926,24,0.11864406779661016,1950,UK
1925,25,0.11538461538461549,1950,UK
1924,26,0.11111111111111098,1950,UK
1923,27,0.10000000000000009,1950,UK
1922,28,0.10810810810810821,1950,UK
1921,29,0.09090909090909066,1950,UK
1920,30,0.09090909090909066,1950,UK
1935,16,0.0,1951,UK
1934,17,0.02,1951,UK
1933,18,0.020408163265306124,1951,UK
1932,19,0.05208333333333333,1951,UK
1931,20,0.07692307692307693,1951,UK
1930,21,0.09523809523809523,1951,UK
1929,22,0.10526315789473686,1951,UK
1928,23,0.11940298507462682,1951,UK
1927,24,0.11864406779661016,1951,UK
1926,25,0.11538461538461549,1951,UK
1925,26,0.13043478260869554,1951,UK
1924,27,0.1250000000000001,1951,UK
1923,28,0.11111111111111122,1951,UK
1922,29,0.09090909090909066,1951,UK
1921,30,0.10000000000000007,1951,UK
1920,31,0.06666666666666672,1951,UK
1936,16,0.0,1952,UK
1935,17,0.02,1952,UK
1934,18,0.020408163265306124,1952,UK
1933,19,0.05208333333333333,1952,UK
1932,20,0.07692307692307693,1952,UK
1931,21,0.09523809523809523,1952,UK
1930,22,0.11842105263157898,1952,UK
1929,23,0.11764705882352945,1952,UK
1928,24,0.11864406779661016,1952,UK
1927,25,0.11538461538461549,1952,UK
1926,26,0.13043478260869554,1952,UK
1925,27,0.10000000000000009,1952,UK
1924,28,0.0857142857142858,1952,UK
1923,29,0.09374999999999975,1952,UK
1922,30,0.10000000000000007,1952,UK
1921,31,0.07407407407407414,1952,UK
1920,32,0.07142857142857148,1952,UK
1937,16,0.0,1953,UK
1936,17,0.02,1953,UK
1935,18,0.020408163265306124,1953,UK
1934,19,0.05208333333333333,1953,UK
1933,20,0.07692307692307693,1953,UK
1932,21,0.09523809523809523,1953,UK
1931,22,0.11842105263157898,1953,UK
1930,23,0.11940298507462682,1953,UK
1929,24,0.13333333333333328,1953,UK
1928,25,0.13461538461538472,1953,UK
1927,26,0.13043478260869554,1953,UK
1926,27,0.1250000000000001,1953,UK
1925,28,0.11111111111111122,1953,UK
1924,29,0.12499999999999978,1953,UK
1923,30,0.10344827586206905,1953,UK
1922,31,0.07407407407407414,1953,UK
1921,32,0.08000000000000007,1953,UK
1920,33,0.03846153846153849,1953,UK
1938,16,0.0,1954,UK
1937,17,0.02,1954,UK
1936,18,0.030612244897959186,1954,UK
1935,19,0.05208333333333333,1954,UK
1934,20,0.08791208791208793,1954,UK
1933,21,0.10714285714285714,1954,UK
1932,22,0.11842105263157898,1954,UK
1931,23,0.11940298507462682,1954,UK
1930,24,0.13559322033898305,1954,UK
1929,25,0.13461538461538472,1954,UK
1928,26,0.13333333333333322,1954,UK
1927,27,0.1250000000000001,1954,UK
1926,28,0.0857142857142858,1954,UK
1925,29,0.09374999999999975,1954,UK
1924,30,0.07142857142857148,1954,UK
1923,31,0.07692307692307698,1954,UK
1922,32,0.040000000000000036,1954,UK
1921,33,0.04347826086956526,1954,UK
1920,34,0.040000000000000036,1954,UK
1939,16,0.0,1955,UK
1938,17,0.02,1955,UK
1937,18,0.030612244897959186,1955,UK
1936,19,0.052631578947368425,1955,UK
1935,20,0.08791208791208793,1955,UK
1934,21,0.09638554216867469,1955,UK
1933,22,0.12000000000000004,1955,UK
1932,23,0.11940298507462682,1955,UK
1931,24,0.13559322033898305,1955,UK
1930,25,0.13725490196078444,1955,UK
1929,26,0.13333333333333322,1955,UK
1928,27,0.10256410256410266,1955,UK
1927,28,0.11428571428571407,1955,UK
1926,29,0.12499999999999978,1955,UK
1925,30,0.10344827586206905,1955,UK
1924,31,0.07692307692307698,1955,UK
1923,32,0.08333333333333341,1955,UK
1922,33,0.08333333333333341,1955,UK
1921,34,0.0454545454545455,1955,UK
1920,35,0.041666666666666706,1955,UK
1940,16,0.01,1956,UK
