threshold,country,year_dropped_below,avg_tfr_after_cross,min_tfr,min_tfr_year,subsequent_peak_tfr,subsequent_peak_tfr_year,avg_tfr_after_min,avg_tfr_period
1.1,China,2022,1.016,0.999,2023,1.034,2022,,
1.1,Hong Kong,1998,1.021,0.708,2022,1.265,2013,0.717,2023-2023
1.1,Puerto Rico,2018,0.961,0.934,2020,1.026,2018,0.942,2021-2023
1.1,Singapore,2003,0.991,0.934,2010,1.081,2003,0.959,2011-2023
1.1,South Korea,2017,0.852,0.72,2023,1.035,2017,,
1.1,Taiwan,2008,1.051,0.87,2022,1.188,2012,0.87,2023-2023
1.1,Ukraine,2001,1.285,0.897,2022,1.528,2012,0.977,2023-2023
1.2,Belarus,2003,1.446,1.192,2003,1.728,2015,1.459,2004-2023
1.2,Bosnia and Herzegovina,2006,1.344,1.18,2006,1.515,2020,1.354,2007-2023
1.2,Bulgaria,1997,1.455,1.113,1997,1.767,2022,1.468,1998-2023
1.2,Chile,2021,1.199,1.167,2023,1.255,2022,,
1.2,China,2021,1.05,0.999,2023,1.117,2021,,
1.2,Czechia,1996,1.43,1.136,1999,1.823,2021,1.475,2000-2023
1.2,Hong Kong,1997,1.025,0.708,2022,1.265,2013,0.717,2023-2023
1.2,Italy,1995,1.306,1.188,1995,1.443,2010,1.31,1996-2023
1.2,Latvia,1996,1.427,1.104,1998,1.742,2016,1.463,1999-2023
1.2,Puerto Rico,2017,0.985,0.934,2020,1.133,2017,0.942,2021-2023
1.2,Russia,1999,1.49,1.183,1999,1.79,2015,1.503,2000-2023
1.2,Singapore,2001,1.007,0.934,2010,1.186,2001,0.959,2011-2023
1.2,Slovakia,2002,1.415,1.185,2002,1.631,2021,1.426,2003-2023
1.2,South Korea,2003,1.08,0.72,2023,1.274,2012,,
1.2,Spain,1994,1.266,1.131,1998,1.436,2008,1.289,1999-2023
1.2,Taiwan,2004,1.068,0.87,2022,1.188,2012,0.87,2023-2023
1.2,Ukraine,1999,1.271,0.897,2022,1.528,2012,0.977,2023-2023
1.2,United Arab Emirates,2021,1.17,1.148,2022,1.2,2023,1.2,2023-2023
1.3,Belarus,1997,1.401,1.192,2003,1.728,2015,1.459,2004-2023
1.3,Bosnia and Herzegovina,2000,1.316,1.18,2006,1.515,2020,1.354,2007-2023
1.3,Bulgaria,1995,1.44,1.113,1997,1.767,2022,1.468,1998-2023
1.3,Chile,2021,1.199,1.167,2023,1.255,2022,,
1.3,China,2020,1.096,0.999,2023,1.236,2020,,
1.3,Czechia,1995,1.425,1.136,1999,1.823,2021,1.475,2000-2023
1.3,Estonia,1998,1.524,1.272,1998,1.719,2008,1.534,1999-2023
1.3,Finland,2023,1.28,1.28,2023,1.28,2023,,
1.3,Germany,1993,1.41,1.254,1994,1.591,2016,1.419,1995-2023
1.3,Greece,2013,1.345,1.292,2013,1.432,2021,1.35,2014-2023
1.3,Hong Kong,1990,1.084,0.708,2022,1.368,1994,0.717,2023-2023
1.3,Hungary,1999,1.392,1.25,2011,1.605,2021,1.489,2012-2023
1.3,Italy,1992,1.301,1.188,1995,1.443,2010,1.31,1996-2023
1.3,Japan,2003,1.328,1.208,2023,1.415,2015,,
1.3,Latvia,1995,1.421,1.104,1998,1.742,2016,1.463,1999-2023
1.3,Lithuania,2001,1.452,1.201,2023,1.705,2015,,
1.3,Mauritius,2022,1.256,1.241,2023,1.27,2022,,
1.3,Poland,2002,1.333,1.225,2003,1.472,2017,1.343,2004-2023
1.3,Portugal,2012,1.357,1.213,2013,1.508,2023,1.379,2014-2023
1.3,Puerto Rico,2016,1.02,0.934,2020,1.264,2016,0.942,2021-2023
1.3,Romania,2001,1.551,1.27,2002,1.77,2017,1.577,2003-2023
1.3,Russia,1996,1.465,1.183,1999,1.79,2015,1.503,2000-2023
1.3,Singapore,1998,1.039,0.934,2010,1.342,2000,0.959,2011-2023
1.3,Slovakia,2000,1.401,1.185,2002,1.631,2021,1.426,2003-2023
1.3,Slovenia,1995,1.437,1.203,2003,1.64,2021,1.527,2004-2023
1.3,South Korea,2002,1.086,0.72,2023,1.274,2012,,
1.3,Spain,1993,1.265,1.131,1998,1.436,2008,1.289,1999-2023
1.3,Taiwan,2003,1.077,0.87,2022,1.248,2003,0.87,2023-2023
1.3,Thailand,2019,1.242,1.212,2023,1.285,2019,,
1.3,Ukraine,1997,1.269,0.897,2022,1.528,2012,0.977,2023-2023
1.3,United Arab Emirates,2018,1.222,1.148,2022,1.289,2020,1.2,2023-2023
1.4,Albania,2019,1.367,1.348,2023,1.395,2019,,
1.4,Austria,1997,1.419,1.317,2023,1.531,2016,,
1.4,Belarus,1995,1.397,1.192,2003,1.728,2015,1.459,2004-2023
1.4,Belgium,2023,1.379,1.379,2023,1.379,2023,,
1.4,Bosnia and Herzegovina,1999,1.318,1.18,2006,1.515,2020,1.354,2007-2023
1.4,Bulgaria,1994,1.438,1.113,1997,1.767,2022,1.468,1998-2023
1.4,Canada,2022,1.357,1.349,2023,1.366,2022,,
1.4,Chile,2020,1.226,1.167,2023,1.307,2020,,
1.4,China,2020,1.096,0.999,2023,1.236,2020,,
1.4,Costa Rica,2021,1.339,1.33,2023,1.353,2021,,
1.4,Cyprus,2011,1.35,1.304,2013,1.393,2022,1.35,2014-2023
1.4,Czechia,1995,1.425,1.136,1999,1.823,2021,1.475,2000-2023
1.4,Denmark,1983,1.697,1.378,1983,1.88,2008,1.705,1984-2023
1.4,Estonia,1995,1.506,1.272,1998,1.719,2008,1.534,1999-2023
1.4,Finland,2019,1.357,1.28,2023,1.461,2021,,
1.4,Germany,1984,1.408,1.254,1994,1.591,2016,1.419,1995-2023
